stem,idf
ndha,83
krag,83
mchogrdo,83
lundha,83
lli,83
lla,83
rnyang,83
tsampa,82
santi,82
banta,82
loo,82
nyad,82
skyud,82
ndi,82
patti,82
'ir,82
aardzu,82
bin,82
brinya,81
dznyo,81
lota'i,81
tpa,81
aasma,81
tsandi,81
autstsha,81
bhrinya,81
kti,81
hir,81
dzul,81
bisma,80
tsakre,80
dzyam,80
konyaham,80
aama,80
dzik,80
d'ipta,80
tsyee,80
hvags,80
aum,79
gcigces,79
hring,79
roksh'a,79
aal,79
grig,79
khadga,79
dzhi,79
hral,79
dig,79
had,78
